algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"acs"	"3"	2.04	5.26	0.72	39	0.64	NA	NA	31	"1"
"acs"	"3"	4.4	9.71	0.87	63	0.56	NA	NA	24	"0"
"acs"	"3"	1.94	4.91	0.43	44	0.69	NA	NA	40	"1"
"acs"	"3"	4.13	3.33	0.71	76	0.81	NA	NA	12	"1"
"acs"	"3"	3.87	7.49	0.79	66	0.6	NA	NA	24	"0"
"acs"	"3"	3.6	6.43	0.35	56	0.69	NA	NA	39	"1"
"acs"	"3"	1.88	3.8	0.49	52	0.75	NA	NA	33	"1"
"acs"	"3"	4.07	2.46	0.56	83	1	NA	NA	12	"1"
"acs"	"3"	3.44	4.07	0.68	66	0.66	NA	NA	10	"1"
"acs"	"3"	4.83	4.48	0.68	77	0.74	NA	NA	12	"1"
"acs"	"3"	3.8	2.8	0.63	77	0.91	NA	NA	12	"1"
"acs"	"3"	4.29	3.81	0.74	77	0.93	NA	NA	9	"1"
"acs"	"3"	3.7	2.61	0.68	78	0.94	NA	NA	11	"1"
"acs"	"3"	3.69	3.52	0.75	74	0.79	NA	NA	11	"1"
"acs"	"3"	4.19	3.43	0.64	74	0.85	NA	NA	11	"1"
"acs"	"3"	3.72	2.21	0.69	81	0.96	NA	NA	7	"1"
"acs"	"3"	4.6	3.71	0.73	78	0.92	NA	NA	8	"1"
"acs"	"3"	2.16	1.68	0.82	23	0.73	NA	NA	28	"0"
"acs"	"3"	2.51	6.6	0.54	6	0.16	NA	NA	47	"0"
"ras"	"3"	4.07	2.23	0.48	48	NA	42	NA	9	"0"
"acs"	"3"	1.49	5.51	0.9	11	0.39	NA	NA	42	"0"
"ras"	"3"	3.84	3.32	0.25	74	NA	15	NA	37	"1"
"acs"	"3"	4.68	6.16	0.74	67	0.53	NA	NA	41	"1"
"acs"	"3"	3.83	1.88	0.14	49	0.01	NA	NA	38	"1"
"ras"	"3"	3.63	3.41	0.48	69	NA	21	NA	20	"1"
"acs"	"3"	2.36	0.84	0.32	32	0.55	NA	NA	8	"1"
"acs"	"3"	2.12	2.78	0.88	46	0.41	NA	NA	25	"0"
"acs"	"3"	4.52	7.3	0.62	63	0.21	NA	NA	37	"0"
"acs"	"3"	1.66	3.43	1	67	0.93	NA	NA	41	"0"
"acs"	"3"	4.96	6.02	0.58	67	0.56	NA	NA	29	"1"
"acs"	"3"	3.27	9.46	0.73	59	0.16	NA	NA	33	"0"
"acs"	"3"	3.29	7.19	0.91	65	0.38	NA	NA	35	"1"
"acs"	"3"	2.47	0.66	0.84	49	0.2	NA	NA	25	"0"
"ras"	"3"	2.86	1.61	0.93	48	NA	34	NA	44	"0"
"acs"	"3"	4.7	6.28	0.73	70	0.68	NA	NA	28	"1"
"acs"	"3"	3.47	9.01	0.68	54	0.27	NA	NA	32	"0"
"ras"	"3"	2.97	3.11	0.92	47	NA	16	NA	45	"0"
"acs"	"3"	3.79	8.1	0.74	63	0	NA	NA	22	"0"
"ras"	"3"	2.6	0.11	0.91	37	NA	20	NA	49	"0"
"acs"	"3"	3.69	8.41	0.83	63	0.09	NA	NA	23	"0"
"ras"	"3"	2.43	0.43	0.83	36	NA	17	NA	48	"0"
"acs"	"3"	4.13	8.07	0.7	63	0.09	NA	NA	19	"0"
"acs"	"3"	4.5	8.18	0.69	63	0.13	NA	NA	19	"0"
"acs"	"3"	3.97	8.12	0.72	61	0.06	NA	NA	19	"0"
"acs"	"3"	4.13	5.54	0.12	31	0.69	NA	NA	49	"0"
"eas"	"3"	3.9	8.82	0.36	57	NA	NA	63	21	"1"
"ras"	"3"	4.72	1.71	0.18	43	NA	19	NA	38	"0"
"mmas"	"3"	3	3.27	0.33	22	NA	NA	NA	34	"1"
"acs"	"3"	3.8	6.99	0.52	23	0.25	NA	NA	16	"1"
"acs"	"3"	3.87	6.68	0.16	22	0.32	NA	NA	31	"0"
"acs"	"3"	3.63	4.76	0.93	19	0.15	NA	NA	20	"1"
"acs"	"3"	2.05	6.98	0.43	5	0.66	NA	NA	18	"0"
"acs"	"3"	3.34	7.69	0.17	17	0.2	NA	NA	36	"0"
"acs"	"3"	2.3	8.41	0.35	36	0.81	NA	NA	9	"0"
"acs"	"3"	1.82	6.22	0.29	18	0.35	NA	NA	18	"0"
"acs"	"3"	1.79	5.85	0.96	36	0.01	NA	NA	13	"0"
"acs"	"3"	2.32	6.47	0.39	20	0.48	NA	NA	18	"1"
"acs"	"3"	2.27	2.87	0.19	13	0.7	NA	NA	12	"0"
"acs"	"3"	2.05	8.73	0.49	38	0.97	NA	NA	11	"0"
"acs"	"3"	1.79	3.13	0.28	30	0.65	NA	NA	7	"0"
"acs"	"3"	2.57	8.27	0.19	46	0.84	NA	NA	14	"0"
"acs"	"3"	2.83	8.19	0.26	42	0.75	NA	NA	10	"0"
"acs"	"3"	2.92	6.9	0.21	55	0.85	NA	NA	8	"0"
"acs"	"3"	2.08	1.89	0.21	43	0.71	NA	NA	12	"0"
"acs"	"3"	3.03	7.95	0.15	42	0.72	NA	NA	11	"0"
"acs"	"3"	3.85	7.78	0.1	46	0.68	NA	NA	11	"0"
"acs"	"3"	3.18	8.82	0.11	42	0.63	NA	NA	9	"0"
"acs"	"3"	2.85	9.3	0.18	40	0.66	NA	NA	13	"0"
"acs"	"3"	3.42	9.42	0.13	42	0.69	NA	NA	9	"0"
"acs"	"3"	3.99	8.3	0.08	44	0.7	NA	NA	9	"0"
"mmas"	"3"	4.16	5.07	0.14	38	NA	NA	NA	28	"1"
"acs"	"3"	4.86	0.23	0.93	70	0.26	NA	NA	40	"1"
"acs"	"3"	3.11	3.74	0.44	24	0.15	NA	NA	43	"0"
"mmas"	"3"	0.86	2.38	0.89	14	NA	NA	NA	21	"0"
"ras"	"3"	3.05	0.5	0.7	56	NA	80	NA	41	"0"
"acs"	"3"	1.25	0.11	0.91	59	0.99	NA	NA	11	"1"
"acs"	"3"	3.75	0.25	0.85	16	0.19	NA	NA	19	"0"
"acs"	"3"	1.84	4.49	0.81	38	0.79	NA	NA	23	"1"
"acs"	"3"	2.63	1.21	0.93	45	0.14	NA	NA	23	"0"
"acs"	"3"	1.58	3.13	0.92	42	0.84	NA	NA	11	"1"
"acs"	"3"	2.84	0.87	0.89	20	0.42	NA	NA	25	"0"
"acs"	"3"	1.89	1.46	0.97	55	0.69	NA	NA	16	"1"
"acs"	"3"	2.74	1.41	0.86	38	0.12	NA	NA	20	"0"
"acs"	"3"	1.42	3.54	0.81	44	0.89	NA	NA	17	"1"
"acs"	"3"	2.66	1.42	0.92	50	0.03	NA	NA	19	"0"
"acs"	"3"	2.91	1.7	0.94	59	0.09	NA	NA	22	"0"
"acs"	"3"	1.6	3.32	0.76	41	0.79	NA	NA	19	"1"
"acs"	"3"	1.26	3.91	0.78	44	0.84	NA	NA	17	"1"
"mmas"	"3"	1.75	7.26	0.6	29	NA	NA	NA	29	"1"
"mmas"	"3"	4.1	3.82	0.32	92	NA	NA	NA	50	"0"
"acs"	"3"	0.97	7.57	0.94	8	0.95	NA	NA	33	"0"
"ras"	"3"	3.39	4.6	0.46	46	NA	24	NA	18	"0"
"ras"	"3"	3.98	1.87	0.94	95	NA	66	NA	20	"1"
"acs"	"3"	2.9	6.14	0.44	19	0.55	NA	NA	19	"1"
"mmas"	"3"	2.32	4.68	0.45	48	NA	NA	NA	49	"0"
"acs"	"3"	2.47	2.12	0.67	51	0.37	NA	NA	50	"1"
"acs"	"3"	4.95	6.9	0.38	67	0.74	NA	NA	35	"0"
"ras"	"3"	4.2	2.47	0.7	61	NA	8	NA	25	"0"
"ras"	"3"	3.79	5.11	0.75	52	NA	12	NA	32	"0"
"acs"	"3"	4.97	7.97	0.38	69	0.88	NA	NA	43	"0"
"acs"	"3"	2.34	3.94	0.52	50	0.69	NA	NA	33	"0"
"acs"	"3"	4.13	7.37	0.35	57	0.43	NA	NA	49	"1"
"ras"	"3"	3.53	3.09	0.92	55	NA	26	NA	28	"0"
"acs"	"3"	4.47	6.74	0.29	62	0.79	NA	NA	46	"0"
"ras"	"3"	4.27	5.64	0.64	51	NA	13	NA	33	"0"
"ras"	"3"	3.53	2.65	0.75	55	NA	25	NA	31	"0"
"ras"	"3"	3.12	3.56	0.73	57	NA	21	NA	33	"0"
"ras"	"3"	3.76	3.48	0.75	71	NA	15	NA	29	"0"
"ras"	"3"	2.81	2.39	0.76	61	NA	20	NA	30	"0"
"ras"	"3"	3.04	4.55	0.79	52	NA	9	NA	32	"0"
"ras"	"3"	2.89	2.7	0.63	49	NA	14	NA	30	"0"
"ras"	"3"	2.75	2.41	0.83	62	NA	23	NA	26	"0"
"ras"	"3"	2.62	2.38	0.86	61	NA	14	NA	28	"0"
"ras"	"3"	2.57	2.01	0.74	56	NA	17	NA	29	"0"
"ras"	"3"	2.39	1.89	0.75	62	NA	25	NA	32	"0"
"ras"	"3"	2.33	2.72	0.88	61	NA	15	NA	29	"0"
"ras"	"3"	2.74	2.47	0.83	68	NA	11	NA	32	"0"
"acs"	"3"	0.82	3.07	0.77	18	0.94	NA	NA	22	"1"
"mmas"	"3"	1.28	2.13	0.74	45	NA	NA	NA	17	"0"
"acs"	"3"	4.49	4.16	0.69	25	0.71	NA	NA	27	"1"
"acs"	"3"	3.04	2.39	0.7	54	0.59	NA	NA	21	"0"
"acs"	"3"	1.91	4.83	0.76	42	0.58	NA	NA	14	"1"
"acs"	"3"	0.98	1.41	0.88	33	0.86	NA	NA	16	"1"
"acs"	"3"	2.02	2.85	0.41	36	0.83	NA	NA	47	"1"
"acs"	"3"	2.44	0.18	0.63	30	0.89	NA	NA	25	"0"
"acs"	"3"	2.77	4	0.6	61	0.77	NA	NA	48	"1"
"acs"	"3"	1.49	1.46	0.7	51	0.91	NA	NA	25	"1"
"acs"	"3"	2.21	0.86	0.91	19	0.57	NA	NA	22	"1"
"acs"	"3"	1.67	5.5	0.6	27	0.91	NA	NA	41	"0"
"acs"	"3"	3.42	9.9	0.78	53	0.44	NA	NA	27	"1"
"acs"	"3"	1.19	1.25	0.53	46	0.97	NA	NA	30	"0"
"acs"	"3"	3.04	8.97	0.74	56	0.47	NA	NA	22	"1"
"acs"	"3"	3	6.94	0.7	53	0.3	NA	NA	32	"0"
"acs"	"3"	1.7	2.86	0.72	27	0.85	NA	NA	31	"1"
"acs"	"3"	2.88	6.3	0.59	55	0.38	NA	NA	30	"0"
"acs"	"3"	3.1	6.85	0.66	56	0.3	NA	NA	31	"0"
"acs"	"3"	3.07	7.08	0.77	53	0.23	NA	NA	33	"0"
"acs"	"3"	2.85	7.07	0.71	51	0.24	NA	NA	35	"0"
"acs"	"3"	3.38	5.81	0.54	58	0.36	NA	NA	33	"1"
"acs"	"3"	2.78	7.21	0.57	56	0.3	NA	NA	36	"0"
"acs"	"3"	2.82	6.97	0.72	58	0.43	NA	NA	28	"0"
"acs"	"3"	2.93	6.45	0.56	50	0.36	NA	NA	30	"0"
"acs"	"3"	2.75	6.78	0.54	52	0.33	NA	NA	38	"0"
"as"	"3"	4.89	8.29	0.89	14	NA	NA	NA	30	"1"
"eas"	"3"	2	3.76	0.5	52	NA	NA	671	17	"1"
"ras"	"3"	4.38	6.03	0.37	6	NA	21	NA	14	"0"
"acs"	"3"	3.21	4	0.91	76	0.51	NA	NA	24	"1"
"acs"	"3"	4.13	0.13	0.95	37	0.42	NA	NA	42	"1"
"ras"	"3"	2.03	2.9	0.92	68	NA	25	NA	12	"0"
"acs"	"3"	3.84	1.78	0.02	22	0.49	NA	NA	23	"1"
"acs"	"3"	2.3	3.04	0.33	53	0.5	NA	NA	11	"1"
"acs"	"3"	4.97	1.98	0.54	30	0.15	NA	NA	47	"1"
"acs"	"3"	1.42	6.67	0.5	45	0.97	NA	NA	10	"0"
"acs"	"3"	2.55	1.64	0.53	10	0.88	NA	NA	15	"1"
"acs"	"3"	2.41	2.49	0.07	28	0.34	NA	NA	35	"1"
"acs"	"3"	4.89	4.8	0.1	7	0.39	NA	NA	32	"1"
"acs"	"3"	2.66	1.92	0.16	26	0.31	NA	NA	29	"1"
"acs"	"3"	3.9	3.12	0.03	32	0.55	NA	NA	28	"1"
"acs"	"3"	2.49	0.76	0.52	44	0.71	NA	NA	9	"1"
"acs"	"3"	2.5	5.01	0.36	54	0.32	NA	NA	11	"0"
"acs"	"3"	2.51	4.8	0.35	50	0.27	NA	NA	13	"0"
"acs"	"3"	3.14	4.9	0.29	54	0.24	NA	NA	10	"0"
"acs"	"3"	2.32	5.28	0.45	54	0.34	NA	NA	9	"0"
"acs"	"3"	2.99	6.17	0.43	56	0.29	NA	NA	10	"0"
"acs"	"3"	2	5.69	0.46	46	0.48	NA	NA	14	"0"
"acs"	"3"	3.08	6.06	0.47	62	0.3	NA	NA	9	"0"
"acs"	"3"	3.43	4.49	0.3	55	0.32	NA	NA	11	"0"
"acs"	"3"	2.71	5.12	0.48	52	0.33	NA	NA	10	"0"
"acs"	"3"	2.97	5.86	0.43	55	0.33	NA	NA	8	"0"
"acs"	"3"	2.2	4.36	0.49	49	0.32	NA	NA	11	"0"
"acs"	"3"	3.55	9.91	0.67	27	0.73	NA	NA	26	"1"
"mmas"	"3"	1.95	5.93	0.48	25	NA	NA	NA	49	"0"
"acs"	"3"	2.96	3.58	0.62	14	0.38	NA	NA	15	"1"
"acs"	"3"	3.22	7.61	0.21	33	0.21	NA	NA	39	"0"
"acs"	"3"	2.05	9.01	0.38	38	0.44	NA	NA	46	"0"
"acs"	"3"	2.79	7.16	0.97	54	0.65	NA	NA	41	"0"
"mmas"	"3"	4.82	9.88	0.34	40	NA	NA	NA	23	"0"
"acs"	"3"	1.56	8.24	0.45	33	0.89	NA	NA	13	"1"
"acs"	"3"	2.16	8.45	0.33	18	0.14	NA	NA	22	"0"
"mmas"	"3"	2.89	6.29	0.34	38	NA	NA	NA	24	"1"
"acs"	"3"	2.99	7.82	0.18	25	0.53	NA	NA	18	"0"
"acs"	"3"	2.86	6.21	0.61	58	0.58	NA	NA	42	"0"
"acs"	"3"	3.77	8.83	0.09	31	0.35	NA	NA	21	"0"
"acs"	"3"	4.97	6.91	0.01	13	0.05	NA	NA	19	"1"
"acs"	"3"	2.53	6.62	0.65	54	0.29	NA	NA	20	"0"
"mmas"	"3"	3.41	5.52	0.17	13	NA	NA	NA	22	"0"
"acs"	"3"	2.98	8.27	0.12	38	0.46	NA	NA	17	"0"
"acs"	"3"	3.66	8.14	0.22	44	0.19	NA	NA	28	"0"
"acs"	"3"	3.36	6.94	0.06	24	0.03	NA	NA	19	"1"
"acs"	"3"	2.96	7.15	0.84	53	0.02	NA	NA	16	"0"
"acs"	"3"	2.83	8.29	0.05	25	0.36	NA	NA	15	"0"
"acs"	"3"	3.2	8.21	0.34	45	0.27	NA	NA	10	"0"
"acs"	"3"	2.72	6.99	0.87	53	0.03	NA	NA	16	"0"
"acs"	"3"	3.15	8.28	0.16	36	0.24	NA	NA	17	"0"
"acs"	"3"	2.85	8.01	0.22	40	0.43	NA	NA	14	"0"
"acs"	"3"	2.95	8.27	0.36	48	0.29	NA	NA	9	"0"
"acs"	"3"	3	9.49	0.16	32	0.48	NA	NA	19	"0"
"acs"	"3"	2.93	7.66	0.26	46	0.43	NA	NA	14	"0"
"acs"	"3"	3.02	7.58	0.36	47	0.28	NA	NA	12	"0"
"acs"	"3"	2.94	7.72	0.35	48	0.37	NA	NA	12	"0"
"acs"	"3"	2.94	7.55	0.35	48	0.4	NA	NA	12	"0"
"ras"	"3"	2.32	0.05	0.64	26	NA	39	NA	38	"0"
"acs"	"3"	4.59	7.08	0.25	39	0.01	NA	NA	25	"0"
"mmas"	"3"	2.13	3.09	0.12	18	NA	NA	NA	10	"1"
"acs"	"3"	4.22	1.73	0.57	8	0.34	NA	NA	32	"1"
"mmas"	"3"	4.77	6.57	0.37	99	NA	NA	NA	42	"1"
"mmas"	"3"	4.79	2.99	0.19	43	NA	NA	NA	21	"0"
"acs"	"3"	4.43	2.47	0.74	10	0.27	NA	NA	29	"1"
"acs"	"3"	2.82	4.45	0.58	58	0.53	NA	NA	32	"1"
"mmas"	"3"	2.95	0.86	0.13	26	NA	NA	NA	11	"0"
"acs"	"3"	4.84	7.09	0.14	46	0.11	NA	NA	24	"0"
"acs"	"3"	4.36	7.94	0.37	60	0.12	NA	NA	19	"1"
"acs"	"3"	3.94	6.93	0.66	67	0.77	NA	NA	17	"0"
"mmas"	"3"	2.84	2.67	0.12	20	NA	NA	NA	14	"0"
"acs"	"3"	3.72	6.02	0.55	67	0.72	NA	NA	14	"0"
"acs"	"3"	3.47	5.9	0.7	67	0.62	NA	NA	9	"1"
"acs"	"3"	4.08	8.67	0.28	58	0.28	NA	NA	16	"0"
"acs"	"3"	3.4	8.88	0.25	45	0.28	NA	NA	18	"0"
"mmas"	"3"	2.8	2.19	0.15	28	NA	NA	NA	16	"0"
"acs"	"3"	3.8	8.54	0.23	51	0.29	NA	NA	16	"0"
