algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"ras"	"3"	2.43	0.92	0.92	66	NA	17	NA	36	"0"
"acs"	"3"	4.47	8.35	0.16	47	0.28	NA	NA	28	"1"
"ras"	"3"	2.29	1.66	0.87	63	NA	15	NA	30	"0"
"ras"	"3"	2.37	2.71	0.64	37	NA	16	NA	19	"0"
"ras"	"3"	2.93	2.94	0.95	78	NA	12	NA	41	"0"
"acs"	"3"	3.33	7.07	0.13	42	0.25	NA	NA	14	"0"
"acs"	"3"	4.14	5.18	0.48	68	0.39	NA	NA	10	"0"
"acs"	"3"	4.19	7.01	0.25	54	0.27	NA	NA	14	"0"
"ras"	"3"	2.28	1.1	0.84	48	NA	17	NA	12	"0"
"acs"	"3"	4.07	3.58	0.09	48	0.48	NA	NA	30	"0"
"ras"	"3"	2.31	2.5	0.73	32	NA	13	NA	45	"1"
"acs"	"3"	3.09	5.29	0.11	41	0.5	NA	NA	9	"0"
"acs"	"3"	4.58	4.46	0.13	52	0.25	NA	NA	15	"0"
"ras"	"3"	2.59	2.18	0.55	30	NA	20	NA	37	"0"
"ras"	"3"	2.9	3.4	0.69	56	NA	16	NA	21	"0"
"ras"	"3"	2.41	1.05	0.51	38	NA	11	NA	23	"1"
"acs"	"3"	3.96	7.22	0.05	34	0.36	NA	NA	12	"1"
"ras"	"3"	2.18	1.18	0.54	49	NA	10	NA	50	"1"
"acs"	"3"	2.38	6.33	0.4	43	0.43	NA	NA	22	"0"
"acs"	"3"	3.79	2.75	0.15	49	0.05	NA	NA	28	"0"
"acs"	"3"	3.23	4.11	0.31	60	0.87	NA	NA	18	"1"
"acs"	"3"	2.34	6.16	0.73	49	0.29	NA	NA	15	"1"
"acs"	"3"	3.18	5.14	0.57	63	0.52	NA	NA	11	"1"
"ras"	"3"	2.78	3.29	0.77	76	NA	12	NA	17	"0"
"ras"	"3"	3.1	0.07	0.86	87	NA	35	NA	35	"0"
"acs"	"3"	3.13	5.52	0.69	63	0.57	NA	NA	27	"0"
"acs"	"3"	1.93	6.17	0.57	51	0.91	NA	NA	11	"1"
"acs"	"3"	1.81	4.08	0.77	46	0.66	NA	NA	47	"0"
"acs"	"3"	3.44	5	0.53	72	0.9	NA	NA	10	"1"
"acs"	"3"	4.08	6.38	0.02	26	0.06	NA	NA	10	"0"
"acs"	"3"	4.22	7.81	0.14	48	0.79	NA	NA	12	"0"
"acs"	"3"	2.6	1.75	0.62	52	0.26	NA	NA	12	"0"
"acs"	"3"	4.45	6.4	0.66	73	0.76	NA	NA	13	"0"
"acs"	"3"	3.79	6.85	1	68	0.3	NA	NA	19	"0"
"acs"	"3"	3.91	6.59	0.32	54	0.27	NA	NA	17	"0"
"acs"	"3"	4.57	5.63	0.23	58	0.14	NA	NA	15	"0"
"mmas"	"3"	3.79	6.63	0.29	48	NA	NA	NA	23	"1"
"acs"	"3"	4.82	7.6	0.36	64	0.41	NA	NA	21	"0"
"ras"	"3"	2.51	2.39	0.95	71	NA	19	NA	16	"0"
"acs"	"3"	2.57	2.33	0.78	62	0.7	NA	NA	9	"0"
"ras"	"3"	2.34	1.66	0.74	55	NA	14	NA	20	"0"
"acs"	"3"	4.42	2.86	0.06	46	0.8	NA	NA	15	"0"
"mmas"	"3"	1.1	6.7	0.83	44	NA	NA	NA	17	"1"
"acs"	"3"	2.01	6.57	0.67	44	0.55	NA	NA	9	"0"
"acs"	"3"	4.2	5.5	0.57	71	0.59	NA	NA	10	"1"
"acs"	"3"	2.72	5.87	0.41	49	0.09	NA	NA	12	"0"
"acs"	"3"	2.66	4.94	0.12	42	0.74	NA	NA	10	"1"
"acs"	"3"	4.13	6.03	0.2	56	0.61	NA	NA	22	"0"
"ras"	"3"	2.79	3.62	0.79	93	NA	14	NA	10	"0"
"acs"	"3"	2.6	7.69	0.22	36	0.77	NA	NA	31	"0"
"acs"	"3"	1.84	9.12	0.52	29	0.74	NA	NA	12	"1"
"mmas"	"3"	3.42	1.62	0.14	25	NA	NA	NA	23	"0"
"acs"	"3"	2.34	0.99	0.77	51	0.37	NA	NA	12	"0"
